,MW,SLogP,nHBDon,nHBAcc,TopoPSA,nRot,naRing,QED
1978,468.2525262640009,5.506900000000005,1,4,78.13,4,3,0.5486068081715562
1979,360.0528773440003,6.256800000000005,0,1,17.07,3,3,0.5038967136859648
1980,509.2227033560008,5.473020000000005,1,5,91.02000000000001,4,4,0.39481583301744905
1983,457.2477752320009,4.757800000000005,1,5,91.02000000000001,5,3,0.5980918682368473
1984,377.0697343480004,5.255700000000002,1,4,80.56,4,3,0.6315269662950725
1985,433.9742905320004,6.849200000000004,0,3,54.54,5,3,0.40961200599033776
1988,500.1581347520007,4.855900000000004,2,4,100.72,8,3,0.4623039040225668
1989,375.06377637600036,5.839000000000003,1,2,43.09,3,3,0.4613840890837992
1990,478.1926284400008,4.602000000000005,1,4,91.92999999999999,8,3,0.512817438356995
1991,483.16280553200073,4.111800000000003,2,5,113.61,8,3,0.5016656269419526
1992,533.1596119720007,4.991500000000004,2,5,113.61,8,3,0.424484829053024
1993,443.23212516800083,4.367700000000004,1,5,91.02000000000001,4,3,0.6482741656835008
1994,467.1724173720008,4.108540000000003,1,8,95.17999999999999,6,4,0.45555701946967253
1995,367.02230548800026,5.379000000000002,1,3,63.33,3,3,0.6747614546411601
1996,429.99456860400034,5.766720000000003,1,5,100.42999999999999,3,4,0.4473380844094746
1997,604.1215101240007,3.621100000000001,3,7,146.73,9,3,0.31740382692130875
1998,351.0695921160005,4.308320000000004,0,4,74.85,5,2,0.753994431689882
1999,478.07858269200045,4.547380000000003,1,4,95.41,6,2,0.6176779713283964
2000,482.26817632800095,5.053380000000005,1,4,76.44,4,2,0.6614106642470138
2001,504.04999745600037,6.770400000000003,2,4,92.43,5,4,0.2925371907035839
2002,522.0264048880003,6.179800000000004,2,5,117.88,6,4,0.3127838455396741
2003,478.0365756480004,7.0526000000000035,2,5,103.6,6,4,0.3102617117182442
2004,546.1757864120009,4.315440000000004,1,8,89.18999999999998,6,4,0.38523143961941475
2005,428.01307579200034,5.400600000000002,1,4,72.19,4,4,0.44121133175327576
2007,468.2525262640009,4.663280000000004,1,4,76.44,5,2,0.6923004658267439
2008,442.23687620000084,4.132280000000003,1,4,76.44,4,2,0.7724046664301634
2012,588.1863510960009,4.735840000000005,1,8,106.25999999999998,5,4,0.35900884543844147
2013,574.207086540001,5.095640000000005,1,8,89.18999999999998,6,4,0.3428099175952042
2014,427.01782682400034,6.005600000000002,1,3,59.3,4,4,0.4055301678897693
2015,565.0793912160004,5.533400000000004,2,5,101.08,7,3,0.2903522013711898
2016,451.1382264200006,6.323700000000004,2,2,49.33,7,2,0.38220942282600556
2017,482.26817632800095,5.053380000000005,1,4,76.44,4,2,0.6614106642470138
2018,456.2525262640009,4.520780000000004,1,4,76.44,4,2,0.7338843934861833
2019,437.12257635600054,5.933600000000004,2,2,49.33,6,2,0.5503906720244571
2020,509.1829820560008,3.8791400000000023,1,9,104.41,6,4,0.41733763822227166
2021,489.285223360001,3.5247600000000023,1,7,95.73,5,3,0.5891904255956122
2022,541.2056093200009,5.689340000000005,1,7,85.94999999999999,6,4,0.33739350379161903
2023,604.1215101240007,3.621100000000001,3,7,146.73,9,3,0.31740382692130875
