,IC50_nM
767,230.0
768,2000.0
769,295.0
770,59.0
771,40.0
772,119.0
773,115.0
774,97.0
775,34.0
776,10000.0
777,32.0
778,130.0
779,86.0
780,125.0
781,142.0
782,78.0
783,426.0
784,9.0
785,79.0
786,46.0
787,301.0
788,169.0
789,6000.0
790,583.0
791,1558.0
792,260.0
793,80.0
794,6.0
795,266.0
796,658.0
797,103.0
798,52.0
799,141.0
800,96.0
801,28.0
802,1414.0
803,440.0
804,139.0
805,178.0
806,1316.0
807,51.0
808,47.0
809,92.0
810,29.0
811,53.0
812,75.0
813,155.0
814,40.0
815,10000.0
816,24.0
817,96.0
818,960.0
819,1388.0
820,66.0
821,148.0
822,277.0
823,17.0
825,360.0
826,155.0
827,1200.0
828,3780.0
829,216.0
830,87.0
832,700.0
833,137.0
834,26.0
835,50.0
836,222.0
837,167.0
838,113.0
839,31.0
840,89.0
841,80.0
842,140.0
844,110.0
845,381.0
846,24.0
847,559.0
848,44.0
849,181.0
850,124.0
851,69.0
852,282.0
853,60.0
854,59.0
855,53.0
856,117.0
857,260.0
858,620.0
859,843.0
860,1300.0
861,42.0
862,37.0
863,70.0
864,56.0
865,56.0
867,56.0
868,51.0
869,12.0
870,116.0
872,187.0
873,1137.0
874,818.0
875,51.0
876,120.0
877,32.0
878,67.0
879,51.0
881,152.0
882,202.0
883,3.3
884,1200.0
885,107.0
886,32.0
887,88.0
888,678.0
889,256.0
890,670.0
891,50.0
892,12.0
893,182.0
894,355.0
895,142.0
896,35.0
897,159.0
898,58.0
899,170.0
900,233.0
901,79.0
902,128.0
903,250.0
904,27.0
905,704.0
906,43.0
907,170.0
908,82.0
909,1100.0
910,1526.0
911,136.0
912,288.0
913,1440.0
914,39.0
915,245.0
916,133.0
917,149.0
918,310.0
919,51.0
920,598.0
921,478.0
923,96.0
924,3718.0
925,670.0
926,78.0
927,35.0
928,221.0
929,140.0
930,62.0
931,56.0
932,10000.0
933,446.0
934,2700.0
935,12.0
936,53.0
937,46.0
938,23.0
939,120.0
940,80.0
941,2025.0
942,74.0
943,186.0
944,46.0
945,46.0
946,40.0
947,4800.0
948,88.0
949,2393.0
950,4300.0
951,3000.0
952,74.0
953,116.0
954,955.0
955,1222.0
956,73.0
957,383.0
958,259.0
959,3600.0
960,33.0
961,129.0
962,51.0
963,471.0
964,254.0
965,3228.0
966,38.0
967,47.0
968,330.0
969,104.0
970,10000.0
971,945.0
972,68.0
974,73.0
975,16.0
976,92.0
977,52.0
978,101.0
979,142.0
980,145.0
981,2558.0
982,36.0
983,10000.0
984,44.0
985,74.0
986,121.0
987,65.0
989,54.0
990,57.0
991,109.0
992,319.0
993,64.0
994,26.0
995,106.0
996,74.0
997,4991.0
998,3600.0
999,370.0
1000,47.0
1001,48.0
1002,11.0
1003,584.0
1004,56.0
1005,54.0
1006,204.0
1007,1048.0
1008,103.0
1009,179.0
1010,91.0
1011,39.0
1012,612.0
1013,230.0
1014,250.0
1015,10000.0
1016,320.0
1017,130.0
1018,85.0
1019,139.0
1020,213.0
1021,140.0
1022,72.0
1023,58.0
1024,217.0
1025,2600.0
1026,6500.0
1027,1359.0
1028,89.0
1029,220.0
1030,194.0
1031,48.0
1032,280.0
1033,32.0
1034,100.0
1035,50.0
1036,204.0
1037,133.0
1038,10000.0
1039,151.0
1040,450.0
1041,24.0
1042,54.0
1043,121.0
1044,65.0
1045,41.0
1046,815.0
1047,41.0
1048,69.0
1049,186.0
1050,437.0
1051,130.0
1052,30.0
1053,3771.0
1054,70.0
1055,54.0
1056,67.0
1057,150.0
1058,209.0
1059,243.0
1060,41.0
1061,49.0
1062,44.0
1063,5100.0
1064,2200.0
1065,74.0
1066,915.0
1067,206.0
1068,585.0
1069,1435.0
1070,405.0
1071,182.0
1072,202.0
1073,16.0
1074,1085.0
1075,1000.0
1076,264.0
1077,55.0
1078,820.0
1079,65.0
1080,188.0
1081,10000.0
1082,11.1
1083,80.0
1084,74.0
1085,96.0
1086,310.0
1087,51.0
1088,300.0
1089,135.0
1090,120.0
1091,10000.0
1092,3500.0
1093,1500.0
1094,129.0
1095,84.0
1096,31.0
1097,78.0
1099,46.0
1100,85.0
1101,185.0
1102,68.0
1103,79.0
1104,223.0
1105,131.0
1106,287.0
1107,202.0
1108,171.0
1109,5000.0
1110,579.0
1111,97.0
1112,609.0
1113,67.0
1114,48.0
1115,286.0
1116,59.0
1117,90.0
1118,221.0
1119,2600.0
1120,6200.0
1121,191.0
1122,51.0
1123,50.0
1124,43.0
1125,49.0
1126,142.0
1127,80.0
1128,3665.0
1129,89.0
1130,1000.0
1131,49.0
1132,39.0
1133,106.0
1134,140.0
1135,130.0
1136,66.0
1137,220.0
1138,460.0
1139,92.0
1140,16.0
1141,2780.0
1142,56.0
1143,142.0
1144,86.0
1145,28.0
1146,3000.0
1147,153.0
1148,63.0
1149,338.0
1150,7.0
1151,339.0
1152,54.0
1153,59.0
1154,1604.0
1155,6000.0
1156,227.0
1157,174.0
1158,3443.0
1159,923.0
1160,787.0
1161,287.0
1162,1200.0
1163,190.0
1164,51.0
1165,10000.0
1166,29.0
1167,2931.0
1168,958.0
1169,5900.0
1170,107.0
1171,55.0
1172,249.0
1173,101.0
1174,109.0
1175,825.0
1176,61.0
1177,106.0
